codigo,dni,apellidos,nombre,direccion,provincia,sexo,formapago
1,24680297D,Martinez Martinez,David,"Casa Cordellas ,",Zaragoza,Hombre,
2,25225560B,Garcia Garcia,Javier,"Doctor Fleming , 11",Barcelona,Hombre,
3,00547093S,Fernandez Fernandez,Jesus,"Bertrand I Serra , 11, 3R.",Zaragoza,Hombre,
4,69522927E,Perez Perez,Jose Luis,"Carrió , 12, 5È A",Zaragoza,Hombre,
5,63163249M,Jimenez Jimenez,Angel,"Pirineus , 10",Tarragona,Hombre,
6,70249930H,Gonzalez Ruiz,Daniel,"Jacint Verdaguer , 43",Valencia,Hombre,
7,09707468L,Ruiz Saenz,Maria Angeles,"Nou , 9, 2N.",Girona,Mujer,
8,56885768Y,Lopez Gonzalez,Laura,"Jacint Verdaguer , 52, 3R, 1A.",Tarragona,Mujer,
9,03418360P,Saenz Lopez,Ana Maria,"Joan Miró , 10",Barcelona,Mujer,
10,86084616D,Rodriguez Gomez,Carmen,"Jaume Galobart , 12",Tarragona,Mujer,
11,31938624L,Gomez Rodriguez,Lucia,"Pintor Sert , 12, 1R., 1A.",Lleida,Mujer,
12,86986824L,Moreno Moreno,Sara,"Bellavista , 30",Valencia,Mujer,
13,47385365Y,Hernandez Alonso,Marta,"Monturiol , 10, 1R.",Zaragoza,Mujer,
14,47924877F,Sanchez Pascual,Maria Jesus,"Jacint Verdaguer , 52, 2N., 4A.",Girona,Mujer,
15,31727083D,Alonso Hernandez,Ana,"Casa Nova ,",Lleida,Mujer,
16,34440222E,Pascual Gil,Cristina,"De La Caça , 12, 1R., C",Lleida,Mujer,
17,32344443A,Gil Diez,Raquel,"Pintor Sert , 12, 2N., 1A.",Valencia,Mujer,
18,55311947Y,Marin Marin,Maria Luisa,"Casa Sara ,",Zaragoza,Mujer,
19,00342073V,Diez Ezquerro,Maria Isabel,"Artès , 1, 1R, 1A.",Tarragona,Mujer,
20,54361688S,Alvarez Sanchez,Elena,"General Prim , 11, 2N.",Barcelona,Mujer,
21,40608543L,Gutierrez Rubio,Isabel,"Cau De La Guineu , 4",Valencia,Mujer,
22,61676974J,Martin Calvo,Paula,"Joan Sanmartí , 12, 2N., 2A.",Tarragona,Mujer,
23,92331882S,Calvo Saez,Beatriz,"Prol. Padró , 1, 3R. 1A.",Lleida,Mujer,
24,54129072K,Blanco Ibañez,Rosa Maria,"Sallent , 22, 2N.",Madrid,Mujer,
25,20792026A,Ezquerro Blanco,Julia,"Joan Miró , 3",Barcelona,Mujer,
26,79012671N,Rubio Garrido,Pilar,"Lluís Castells , 12, 2N.",Girona,Mujer,
27,25547946Y,Ibañez Gutierrez,Irene,"Sant Valentí , 12, 1R.",Barcelona,Mujer,
28,28196095G,Muñoz Alvarez,Maria Dolores,"Àngel Guimerà , 43, 2N",Girona,Mujer,
29,01031767X,Garrido Muñoz,Susana,"Jaume Galobart , 11",Salamanca,Mujer,
30,40027892A,Saez Palacios,Andrea,"Avinguda Tres , 3, 1R., 1A.",Girona,Mujer,
31,33909795K,Diaz Santamaria,Silvia,"Jacint Verdaguer , 52, 2N., 1A.",Madrid,Mujer,
32,43286287B,Ramirez Benito,Angela,"Diputació , 10",Barcelona,Mujer,
33,48120985V,Palacios Ramirez,Alba,"Vic , 39, 1R., 2A.",Lleida,Mujer,
34,28278804M,Ortega Ochoa,Alicia,"German Duran , 21",Tarragona,Mujer,
35,82512761P,Benito Diaz,Juan,"Bellavista , 30",Zaragoza,Hombre,
36,63801752M,Santamaria Ortega,Ivan,"Nou , 7, 2N.",Zaragoza,Hombre,
37,54508096M,Romero Leon,Mario,"Manelic , 1",Lleida,Hombre,
38,38206321D,Ochoa Herce,Felix,"De La Pesca , 1, 1R., 1A.",Barcelona,Hombre,
39,84866681Q,Leon Martin,Victor,"Pirineus , 34",Lleida,Hombre,
40,73615398B,Dominguez Gabarri,Rafael,"Prol. Jacint Verdaguer , 1, 2N., 2A.",Lleida,Hombre,
41,X8136223L,Herce Sainz,Enrique,"Mallorca , 11",Pontevedra,Hombre,
42,Z4205235N,Peña Dominguez,Juan Jose,"Sant Benet , 12, 2N.",Zaragoza,Hombre,
43,Z8050649X,Gabarri Merino,Jose Manuel,"Prol. Padró , 1, 2N., 2A.",Lleida,Hombre,
44,Y7321987C,Merino Romero,Marcos,"Artès , 1, 2N., 2A.",Lleida,Hombre,
45,X6636955Y,Torres Peña,Ricardo,"Joan Xxiii , 12, 1R, 2A.",Barcelona,Hombre,
46,Y5025749X,Sainz Cordon,Jose Ignacio,"Bertrand I Serra , 11, 3R.",Madrid,Hombre,
47,Y0848528A,Sanz Castillo,Ignacio,"La Sardana , 1",Zaragoza,Hombre,
48,Y4695857F,Castillo Espinosa,Andres,"Galileu , 12",Barcelona,Hombre,
49,Y8901491E,Ortiz Miguel,Gonzalo,"Sant Valentí , 11",Tarragona,Hombre,
50,X7253999Y,Cordon Muro,Julio,"Joan Xxiii , 43",Girona,Hombre,
51,70373620Z,Arocas Pasadas,Estefania,"De La Pau , 1",Barcelona,Mujer,
52,45444092W,Viso Gilabert,Queralt,"Sant Antoni Maria Claret , 11",Tarragona,Mujer,
53,47126967J,Ayala Ferreras,Joan,"Avinguda Tres , 1, 3R., 1A.",Zaragoza,Hombre,
54,25149091V,Baez Tejado,Joan,"Prol. Padró , 1, 2N., 1A.",Tarragona,Hombre,
55,17871028M,Bastardes Soto,Marc,"Sant Joan , 0, C, 3R. A",Barcelona,Hombre,
56,21866250N,Anguera Vilafranca,Josep,"Prol. Jacint Verdaguer , 1, 1R., 1A.",Valencia,Hombre,
57,74976579Y,Pascual Aloy,Esther,"Joan Xxiii , 11, 1R., 1A.",Madrid,Mujer,
58,43547721G,Vallés Girvent,Laura,"Lluís Castells , 12, 1R.",Girona,Mujer,
59,44140778Y,Raya Garcia,Raquel,"Padró , 83",Barcelona,Mujer,
60,50306194L,Andreu Cruz,Joan,"Sant Iscle , 1",Zaragoza,Hombre,
61,70049667Q,Baraldés Comas,Maria Isabel,"Montserrat , 10",Tarragona,Mujer,
